Id,date,Open,High,Low,close,Vol.,Change %
1590,23-Nov-14,352,370.6,352.6,365.9,12.41K,3.93%
1591,24-Nov-14,365.9,388.7,361.9,378.9,24.57K,3.55%
1592,25-Nov-14,378.9,395.7,370.6,376.4,45.32K,-0.64%
1593,26-Nov-14,376.4,378.3,364,365.4,23.98K,-2.94%
1594,27-Nov-14,365.4,374.4,364.8,368.8,13.85K,0.95%
1595,28-Nov-14,368.8,383.3,358.4,377.6,43.02K,2.38%
1596,29-Nov-14,377.6,389.3,372.2,376.3,83.45K,-0.35%
1597,30-Nov-14,376.3,381.1,372.6,374.9,11.29K,-0.36%
1598,1-Dec-14,374.9,383.6,373,378.6,19.67K,0.98%
1599,2-Dec-14,378.6,384.9,375.4,380.6,25.29K,0.54%
1600,3-Dec-14,380.6,384.7,373.6,377,23.51K,-0.97%
1601,4-Dec-14,377,380.4,366.2,369.8,25.33K,-1.89%
1602,5-Dec-14,369.8,379.7,366.4,377.6,29.99K,2.11%
1603,6-Dec-14,377.6,380.3,372,376.3,11.07K,-0.36%
1604,7-Dec-14,376.3,377.9,372.5,376.5,8.81K,0.06%
1605,8-Dec-14,376.5,377.4,364.6,365,22.92K,-3.06%
1606,9-Dec-14,365,365.4,343.8,352.2,43.83K,-3.50%
1607,10-Dec-14,352.2,354.1,345.1,347.9,27.13K,-1.21%
1608,11-Dec-14,347.9,367.1,337.8,347.7,51.08K,-0.07%
1609,12-Dec-14,347.7,356.4,346,353.4,26.85K,1.65%
1610,13-Dec-14,353.4,353.1,343.8,348.2,19.54K,-1.46%
1611,14-Dec-14,348.2,351.6,344.6,349.4,12.34K,0.32%
1612,15-Dec-14,349.4,351.2,343.6,345.4,22.16K,-1.14%
1613,16-Dec-14,345.4,346.5,328.9,330.2,38.59K,-4.39%
1614,17-Dec-14,330.2,335.7,314.3,320,61.34K,-3.09%
1615,18-Dec-14,320,325.6,303.4,310.3,60.52K,-3.02%
1616,19-Dec-14,310.3,320.2,306.4,317.8,41.71K,2.40%
1617,20-Dec-14,317.8,332.6,316,330.4,29.92K,3.96%
1618,21-Dec-14,330.4,332,320.1,322.6,20.67K,-2.34%
1619,22-Dec-14,322.6,335.3,319.9,330.8,35.36K,2.54%
1620,23-Dec-14,330.8,339.3,328,335.3,24.07K,1.33%
1621,24-Dec-14,335.3,336.3,320.6,322.4,21.52K,-3.83%
1622,25-Dec-14,322.4,323.4,316.3,319,15.39K,-1.06%
1623,26-Dec-14,319,332.9,316.4,330,23.01K,3.45%
1624,27-Dec-14,330,330.7,312,315.3,21.63K,-4.44%
1625,28-Dec-14,315.3,322.8,310.5,316.5,20.41K,0.38%
1626,29-Dec-14,316.5,321.6,308.3,314.1,20.36K,-0.76%
1627,30-Dec-14,314.1,316.2,309.3,311.3,22.78K,-0.91%
1628,31-Dec-14,311.3,319.1,308.9,318.2,20.50K,2.24%
1629,1-Jan-15,318.2,321.4,313.5,314.9,12.82K,-1.05%
1630,2-Jan-15,314.9,316.4,313.1,315.2,14.73K,0.10%
1631,3-Jan-15,315.2,315.8,284.9,287.1,47.37K,-8.91%
1632,4-Jan-15,287.1,289.9,255.9,264.7,88.77K,-7.80%
1633,5-Jan-15,264.7,278.3,262.9,274.8,54.99K,3.82%
1634,6-Jan-15,274.8,285.1,271.5,282.3,21.94K,2.70%
1635,7-Jan-15,282.3,296.1,280.7,291.3,30.67K,3.21%
1636,8-Jan-15,291.3,292.7,279,282.7,20.18K,-2.97%
1637,9-Jan-15,282.7,290.6,277.3,288,20.93K,1.87%
1638,10-Jan-15,288,289.3,272,273.4,14.73K,-5.08%
1639,11-Jan-15,273.4,278,263.8,264.8,15.11K,-3.14%
1640,12-Jan-15,264.8,273.1,263.3,269.3,25.39K,1.72%
1641,13-Jan-15,269.3,269.1,217.1,221.3,95.50K,-17.84%
1642,14-Jan-15,221.3,230.9,157.3,164.9,170.68K,-25.47%
1643,15-Jan-15,164.9,231.3,164.6,209.8,124.67K,27.20%
1644,16-Jan-15,209.8,222.6,198.7,206.9,62.32K,-1.36%
1645,17-Jan-15,206.9,212.6,191.7,199.6,43.13K,-3.51%
1646,18-Jan-15,199.6,220.7,192.5,210.6,40.37K,5.49%
1647,19-Jan-15,210.6,219.5,205.5,215.9,31.58K,2.49%
1648,20-Jan-15,215.9,216.6,203.4,210.6,37.48K,-2.46%
1649,21-Jan-15,210.6,229.3,207.1,228.2,43.18K,8.37%
1650,22-Jan-15,228.2,238.8,225.6,232.7,53.71K,1.99%
1651,23-Jan-15,232.7,237,224.8,232.2,38.17K,-0.23%
1652,24-Jan-15,232.2,248.9,229.6,248.2,33.24K,6.89%
1653,25-Jan-15,248.2,256.4,241.4,252.1,50.19K,1.58%
1654,26-Jan-15,252.1,310.9,251.5,269.2,105.71K,6.78%
1655,27-Jan-15,269.2,276.9,247.3,263.3,50.26K,-2.20%
1656,28-Jan-15,263.3,267.7,228.1,236.2,63.77K,-10.29%
1657,29-Jan-15,236.2,241.5,220.4,234,54.49K,-0.92%
1658,30-Jan-15,234,244.8,227.2,231.8,48.23K,-0.92%
1659,31-Jan-15,231.8,235.4,216.5,218.5,42.15K,-5.75%
1660,1-Feb-15,218.5,231.4,209.7,225.3,41.16K,3.10%
1661,2-Feb-15,225.3,242.5,220.5,238.9,39.02K,6.02%
1662,3-Feb-15,238.9,247.5,223.9,227.4,63.08K,-4.79%
1663,4-Feb-15,227.4,230.7,220.2,226.6,55.24K,-0.36%
1664,5-Feb-15,226.6,229.9,214.4,216.5,40.64K,-4.44%
1665,6-Feb-15,216.5,226.2,215.6,223,52.52K,2.97%
1666,7-Feb-15,223,231,222.4,227.7,39.76K,2.12%
1667,8-Feb-15,227.7,230.2,219.5,223.7,29.05K,-1.76%
1668,9-Feb-15,223.7,225,215.7,220.3,91.69K,-1.49%
1669,10-Feb-15,220.3,222.2,214.4,219.7,86.15K,-0.30%
